date,open,close,high,low
2016-09-16,19935.849609375,19855.44921875,20227.19921875,19783.599609375
2016-09-19,19892.19921875,19906.849609375,20014.400390625,19849.650390625
2016-09-20,19957.349609375,19852.30078125,19964.30078125,19797.5
2016-09-21,19902.69921875,19828.44921875,19937.849609375,19749.94921875
2016-09-22,20153.099609375,20109.599609375,20264.80078125,19996.900390625
2016-09-23,20136.75,19901.80078125,20137.55078125,19861.44921875
2016-09-26,19792.19921875,19591.75,19794.150390625,19568.349609375
2016-09-27,19652.94921875,19518.69921875,19696.44921875,19479.150390625
2016-09-28,19542.0,19653.55078125,19700.0,19509.650390625
2016-09-29,19762.30078125,19183.650390625,19793.19921875,19059.05078125
2016-09-30,19116.0,19285.69921875,19330.849609375,19085.19921875
2016-10-03,19395.55078125,19589.05078125,19611.25,19363.94921875
2016-10-04,19641.75,19672.69921875,19747.44921875,19527.349609375
2016-10-05,19801.30078125,19536.849609375,19816.5,19492.80078125
2016-10-06,19518.55078125,19395.05078125,19570.69921875,19325.80078125
2016-10-07,19398.05078125,19400.099609375,19456.0,19318.0
2016-10-10,19489.5,19378.55078125,19501.44921875,19351.349609375
2016-10-13,19295.55078125,18954.25,19295.55078125,18824.400390625
2016-10-14,19016.69921875,19020.150390625,19053.5,18926.150390625
2016-10-17,19136.30078125,19070.400390625,19241.75,19002.44921875
2016-10-18,19174.69921875,19495.05078125,19511.80078125,19162.849609375
2016-10-19,19570.05078125,19412.099609375,19576.30078125,19322.75
2016-10-20,19493.900390625,19658.69921875,19722.849609375,19479.25
2016-10-21,19636.400390625,19710.900390625,19744.0,19516.400390625
2016-10-24,19763.849609375,19807.900390625,19897.849609375,19751.650390625
2016-10-25,19907.69921875,19834.900390625,19922.69921875,19711.94921875
2016-10-26,19581.69921875,19483.599609375,19725.900390625,19434.5
2016-10-27,19452.0,19514.599609375,19544.19921875,19252.099609375
2016-10-28,19507.849609375,19555.94921875,19589.69921875,19362.0
2016-11-01,19578.599609375,19458.599609375,19591.650390625,19417.30078125
2016-11-02,19223.5,19227.900390625,19296.55078125,19158.75
2016-11-03,19201.94921875,19178.69921875,19319.650390625,19119.30078125
2016-11-04,19223.849609375,19058.099609375,19223.900390625,18961.150390625
2016-11-07,19317.849609375,19356.0,19378.0,19233.0
